Name,Sex,Equipment,Age,AgeClass,Division,BodyweightKg,WeightClassKg,Best3SquatKg,Best3BenchKg,Best3DeadliftKg,TotalKg,Place,Wilks,IPFPoints,Tested,Country,Federation,Date,MeetCountry,MeetName
Nicola Bennett,F,Raw,,20-23,F_J_R_ABPU,58.1,60,95,62.5,130,287.5,1,328.66,513.44,Yes,UK,BPU,04/07/2015,England,British Championships
Nathaniel Robinson,M,Raw,21,20-23,M_J_R_ABPU,81.4,82.5,160,120,210,490,2,330.93,478.21,Yes,UK,BPU,04/07/2015,England,British Championships
Mitch Horrocks,M,Raw,21,20-23,M_J_R_ABPU,71.3,75,180,120,240,540,1,399.08,590.25,Yes,UK,BPU,04/07/2015,England,British Championships
Liam Salmon,M,Raw,29,24-34,M_O_R_ABPU,89.4,90,220,150,260,630,1,403.57,599.87,Yes,UK,BPU,04/07/2015,England,British Championships
Charanjit Sund,M,Raw,34,24-34,M_O_R_ABPU,80.1,82.5,145,97.5,175,417.5,1,284.8,399.66,Yes,UK,BPU,23/02/2019,England,South West Qualifier
Kelly Mathews,F,Raw,37,35-39,F_O_R_ABPU,75,75,90,60,130,280,1,266.18,448.13,Yes,England,BPU,23/02/2019,England,South West Qualifier
Sarah Lees,F,Raw,37,35-39,F_O_R_ABPU,75,75,,,,,NS,,,Yes,UK,BPU,23/02/2019,England,South West Qualifier
Jamie Spedding,M,Raw,27,24-34,M_O_R_ABPU,99.1,100,220,142.5,260,622.5,1,380.23,553.75,Yes,UK,BPU,23/02/2019,England,South West Qualifier
Scott Byrne,M,Raw,36,35-39,M_O_R_ABPU,90,90,,,,,NS,,,Yes,England,BPU,23/02/2019,England,South West Qualifier
Alan Motyer-Lowndes,M,Raw,46.5,45-49,M_M2_R_ABPU,81.2,82.5,,,,,DQ,,,Yes,England,BPU,26/01/2016,England,Midland Qualifier
Andrew Gregory,M,Raw,,20-23,M_J_R_ABPU,74.7,75,120,97.5,180,397.5,1,284.04,397.19,Yes,England,BPU,26/01/2016,England,Midland Qualifier
Geni Devonish,F,Raw,41,40-44,F_M1_R_ABPU,87.6,90,112.5,60,127.5,300,1,262.26,453.09,Yes,England,BPU,26/01/2016,England,Midland Qualifier
Jordan Farrington,M,Raw,16.5,16-17,M_T2_R_ABPU,84.6,90,185,135,217.5,537.5,1,354.81,518.58,Yes,England,BPU,26/01/2016,England,Midland Qualifier
Karla Frater,F,Raw,,50-54,F_M3_R_ABPU,81.3,82.5,100,40,140,280,1,253.95,434.83,Yes,England,BPU,26/01/2016,England,Midland Qualifier
Michael Phipps,M,Raw,,,M_O_R_ABPU,64.4,67.5,120,95,,,DQ,,,Yes,UK,BPU,26/01/2016,England,Midland Qualifier
Ann Votsikas,F,Raw,53,50-54,F_M3_R_ABPU,82.4,82.5,82.5,60,142.5,285,1,256.65,440.36,Yes,UK,BPU,10/02/2018,Wales,Wales and North West Qualifier
Jamie Spedding,M,Raw,26,24-34,M_O_R_ABPU,108.8,110,225,147.5,270,642.5,1,379.4,542.35,Yes,UK,BPU,10/02/2018,Wales,Wales and North West Qualifier
Chris Etherington,M,Raw,35,35-39,M_O_R_ABPU,89.2,90,160,120,210,490,1,314.25,448.43,Yes,UK,BPU,10/02/2018,Wales,Wales and North West Qualifier
John Devlin,M,Raw,47,45-49,M_M2_R_ABPU,99.4,100,225,147.5,257.5,630,1,384.34,560.38,Yes,England,BPU,10/02/2018,Wales,Wales and North West Qualifier
Nicola Bennett,F,Raw,,,F_O_R_ABPU,63.6,67.5,105,67.5,122.5,295,1,314.56,505.94,Yes,UK,BPU,27/11/2016,England,London Qualifier
Ross Watson,M,Raw,,,M_O_CR_ABPU,80.1,82.5,130,100,190,420,1,286.51,402.56,Yes,UK,BPU,27/11/2016,England,London Qualifier
